Cluster,Ray
Ptr01,0.186364155
Ptr01,0.132195117
Ptr01,0.172401665
Ptr01,0.16050779
Ptr01,0.191763323
Ptr01,0.18510292
Ptr01,0.070265736
Ptr01,0.195919046
Ptr01,0.187344458
Ptr01,0.164053264
Ptr01,0.147092666
Ptr01,0.266399541
Ptr01,0.236095201
Ptr01,0.154904998
Ptr01,0.193889911
Ptr01,0.150860423
Ptr01,0.192218361
Ptr01,0.234768584
Ptr01,0.169339405
Ptr01,0.21287948
Ptr01,0.33331695
Ptr01,0.206410645
Ptr01,0.147298897
Ptr01,0.12707174
Ptr01,0.164897486
Ptr01,0.111328442
Ptr01,0.175414175
Ptr01,0.199168195
Ptr01,0.198288409
Ptr01,0.221747179
Ptr01,0.219721184
Ptr01,0.214610095
Ptr01,0.17515656
Ptr01,0.154441251
Ptr01,0.178940544
Ptr01,0.259139989
Ptr01,0.164243046
Ptr01,0.199309855
Ptr01,0.094502607
Ptr01,0.183558748
Ptr01,0.175794899
Ptr01,0.132279528
Ptr01,0.167430995
Ptr01,0.153816604
Ptr01,0.275291726
Ptr01,0.25356024
Ptr01,0.137416191
Ptr01,0.16337711
Ptr01,0.158945888
Ptr01,0.13434294
Ptr01,0.126315157
Ptr01,0.08842843
Ptr01,0.134194264
Ptr01,0.172320859
Ptr01,0.152578121
Ptr01,0.167691164
Ptr01,0.151626584
Ptr01,0.186875321
Ptr01,0.213654949
Ptr01,0.26641413
Ptr01,0.167961201
Ptr01,0.189253557
Ptr01,0.194501266
Ptr01,0.208081506
Ptr01,0.159734745
Ptr01,0.15905928
Ptr01,0.156959469
Ptr01,0.221310672
Ptr01,0.153811839
Ptr01,0.224722676
Ptr01,0.372119978
Ptr01,0.179294926
Ptr01,0.198389622
Ptr01,0.164716374
Ptr01,0.136343067
Ptr01,0.219249497
Ptr01,0.128446611
Ptr01,0.194003401
Ptr01,0.148485316
Ptr01,0.175745992
Ptr01,0.178679549
Ptr01,0.139430775
Ptr01,0.105267699
Ptr01,0.239911059
Ptr01,0.113254258
Ptr01,0.380659662
Ptr01,0.269376269
Ptr01,0.221617052
Ptr01,0.144479996
Ptr01,0.153411384
Ptr01,0.225390743
Ptr01,0.22315403
Ptr01,0.138681159
Ptr01,0.239635945
Ptr01,0.186776179
Ptr01,0.171493051
Ptr01,0.172343988
Ptr01,0.254618092
Ptr01,0.106452142
Ptr01,0.165464051
Ptr01,0.206422473
Ptr01,0.217407668
Ptr01,0.222118145
Ptr01,0.138359817
Ptr01,0.108480219
Ptr01,0.249479002
Ptr01,0.17480657
Ptr01,0.184904803
Ptr01,0.159206528
Ptr01,0.136753527
Ptr01,0.099482295
Ptr01,0.173598225
Ptr01,0.101335309
Ptr01,0.126123112
Ptr01,0.117342312
Ptr01,0.181688762
Ptr01,0.171034741
Ptr01,0.218891207
Ptr01,0.211634439
Ptr01,0.16465383
Ptr01,0.138684844
Ptr01,0.144604175
Ptr01,0.240567617
Ptr01,0.286130783
Ptr01,0.460746799
Ptr01,0.279122149
Ptr01,0.198915309
Ptr01,0.190600278
Ptr01,0.116690188
Ptr01,0.213622198
Ptr01,0.153866156
Ptr01,0.145056336
Ptr01,0.228469741
Ptr01,0.208890649
Ptr01,0.199851294
Ptr01,0.17216911
Ptr01,0.230183494
Ptr01,0.253076902
Ptr01,0.119114084
Ptr01,0.146922453
Ptr01,0.147385034
Ptr01,0.195152059
Ptr01,0.193682792
Ptr01,0.232465799
Ptr01,0.111532278
Ptr01,0.215179043
Ptr01,0.144833325
Ptr01,0.155149053
Ptr01,0.126772517
Ptr01,0.164718634
Ptr01,0.214023306
Ptr01,0.220269189
Ptr01,0.155354469
Ptr01,0.145261955
Ptr01,0.149668174
Ptr01,0.236815109
Ptr01,0.107177785
Ptr01,0.139354908
Ptr01,0.192863014
Ptr01,0.276029187
Ptr01,0.165789344
Ptr01,0.129602073
Ptr01,0.208175017
Ptr01,0.168281343
Ptr01,0.241947337
Ptr01,0.107922716
Ptr01,0.146455227
Ptr01,0.191832358
Ptr01,0.302250558
Ptr01,0.241944393
Ptr01,0.203186021
Ptr01,0.145056956
Ptr01,0.181330508
Ptr01,0.279555314
Ptr01,0.23284654
Ptr01,0.198841029
Ptr01,0.135958716
Ptr01,0.195644912
Ptr01,0.16486879
Ptr01,0.157672655
Ptr01,0.16862715
Ptr01,0.07005802
Ptr01,0.109843533
Ptr01,0.257970709
Ptr01,0.147965972
Ptr01,0.217543337
Ptr01,0.132290928
Ptr01,0.175356596
Ptr01,0.136176415
Ptr01,0.189919627
Ptr01,0.214085169
Ptr01,0.195129284
Ptr01,0.196333711
Ptr01,0.201717006
Ptr01,0.170040123
Ptr01,0.238676341
Ptr01,0.193526525
Ptr01,0.149023933
Ptr01,0.192481425
Ptr01,0.213123307
Ptr01,0.110943972
Ptr01,0.218427212
Ptr01,0.258595787
Ptr01,0.206960291
Ptr01,0.126322642
Ptr01,0.253914823
Ptr01,0.162275956
Ptr01,0.130996186
Ptr01,0.214391587
Ptr01,0.16572578
Ptr01,0.178852194
Ptr01,0.209605602
Ptr01,0.244711638
Ptr01,0.125760176
Ptr01,0.288109999
Ptr01,0.198707052
Ptr01,0.181919594
Ptr01,0.20130511
Ptr01,0.188935422
Ptr01,0.210358765
Ptr01,0.119631674
Ptr01,0.212706809
Ptr01,0.237392771
Ptr01,0.13581445
Ptr01,0.26492237
Ptr01,0.119392089
Ptr01,0.152095361
Ptr01,0.133209244
Ptr01,0.126704779
Ptr01,0.165581192
Ptr01,0.108385188
Ptr01,0.253619852
Ptr01,0.186333705
Ptr01,0.225281912
Ptr01,0.140395562
Ptr01,0.205176014
Ptr01,0.158901677
Ptr01,0.385505857
Ptr01,0.146209355
Ptr01,0.245577501
Ptr01,0.190846508
Ptr01,0.161588308
Ptr01,0.224259072
Ptr01,0.095867203
Ptr01,0.20798302
Ptr01,0.168348319
Ptr01,0.119499149
Ptr01,0.138988071
Ptr01,0.235574711
Ptr01,0.337599466
Ptr01,0.178387008
Ptr01,0.130328973
Ptr01,0.125834698
Ptr01,0.273182275
