Cluster,Vessel
Ptr01,0.210343079
Ptr01,0.216475029
Ptr01,0.251532215
Ptr01,0.181734773
Ptr01,0.264176033
Ptr01,0.196006247
Ptr01,0.117007154
Ptr01,0.224094906
Ptr01,0.213093494
Ptr01,0.223860145
Ptr01,0.221270519
Ptr01,0.295365449
Ptr01,0.261355248
Ptr01,0.228146195
Ptr01,0.23312354
Ptr01,0.221060606
Ptr01,0.238022522
Ptr01,0.272290339
Ptr01,0.191857416
Ptr01,0.273214365
Ptr01,0.300273319
Ptr01,0.253054207
Ptr01,0.179807664
Ptr01,0.185006895
Ptr01,0.235351487
Ptr01,0.180237027
Ptr01,0.203666452
Ptr01,0.262750924
Ptr01,0.247819028
Ptr01,0.299459816
Ptr01,0.284699348
Ptr01,0.28662692
Ptr01,0.242352427
Ptr01,0.185334262
Ptr01,0.219901321
Ptr01,0.309681903
Ptr01,0.223112352
Ptr01,0.268294848
Ptr01,0.162814673
Ptr01,0.257836389
Ptr01,0.225813939
Ptr01,0.165954236
Ptr01,0.197474997
Ptr01,0.201777732
Ptr01,0.308042221
Ptr01,0.298382483
Ptr01,0.173762086
Ptr01,0.214347765
Ptr01,0.224765968
Ptr01,0.182133686
Ptr01,0.211585518
Ptr01,0.112284496
Ptr01,0.198469491
Ptr01,0.224465287
Ptr01,0.196611955
Ptr01,0.180187164
Ptr01,0.222770168
Ptr01,0.269125493
Ptr01,0.246177857
Ptr01,0.331456817
Ptr01,0.252366022
Ptr01,0.224814045
Ptr01,0.265399994
Ptr01,0.242702928
Ptr01,0.215842326
Ptr01,0.204392652
Ptr01,0.190811114
Ptr01,0.294295613
Ptr01,0.235512117
Ptr01,0.271264037
Ptr01,0.297904581
Ptr01,0.23951862
Ptr01,0.263765429
Ptr01,0.22180106
Ptr01,0.203532003
Ptr01,0.268686072
Ptr01,0.158430627
Ptr01,0.252096803
Ptr01,0.174891733
Ptr01,0.233131461
Ptr01,0.238305918
Ptr01,0.191033162
Ptr01,0.155823464
Ptr01,0.278585798
Ptr01,0.14568063
Ptr01,0.296987679
Ptr01,0.321613053
Ptr01,0.241230165
Ptr01,0.201118073
Ptr01,0.194415075
Ptr01,0.276472206
Ptr01,0.277949295
Ptr01,0.189419204
Ptr01,0.309794976
Ptr01,0.257461627
Ptr01,0.225848685
Ptr01,0.214669236
Ptr01,0.310527781
Ptr01,0.148433922
Ptr01,0.232382031
Ptr01,0.267536298
Ptr01,0.294276498
Ptr01,0.263442179
Ptr01,0.214500025
Ptr01,0.153119733
Ptr01,0.289009488
Ptr01,0.236475782
Ptr01,0.256132535
Ptr01,0.202351881
Ptr01,0.156959142
Ptr01,0.148223428
Ptr01,0.209204868
Ptr01,0.174332822
Ptr01,0.207223621
Ptr01,0.166609059
Ptr01,0.177769567
Ptr01,0.230957813
Ptr01,0.292801895
Ptr01,0.258327347
Ptr01,0.200604156
Ptr01,0.168425636
Ptr01,0.186293621
Ptr01,0.289722863
Ptr01,0.33239214
Ptr01,0.27221254
Ptr01,0.316901288
Ptr01,0.25302978
Ptr01,0.224817368
Ptr01,0.189147664
Ptr01,0.298655833
Ptr01,0.207153947
Ptr01,0.184252842
Ptr01,0.243764009
Ptr01,0.24862749
Ptr01,0.218304542
Ptr01,0.215812921
Ptr01,0.268756297
Ptr01,0.283158164
Ptr01,0.138990869
Ptr01,0.201132559
Ptr01,0.163100125
Ptr01,0.219962778
Ptr01,0.235987798
Ptr01,0.26284163
Ptr01,0.162442085
Ptr01,0.249548544
Ptr01,0.230611462
Ptr01,0.196328736
Ptr01,0.174467552
Ptr01,0.225070136
Ptr01,0.238728265
Ptr01,0.28559985
Ptr01,0.217399719
Ptr01,0.210217288
Ptr01,0.229298927
Ptr01,0.270143707
Ptr01,0.147071532
Ptr01,0.171754331
Ptr01,0.249093812
Ptr01,0.299297995
Ptr01,0.19947422
Ptr01,0.188855845
Ptr01,0.309617025
Ptr01,0.213356942
Ptr01,0.303349531
Ptr01,0.151638296
Ptr01,0.214116295
Ptr01,0.238933149
Ptr01,0.331173965
Ptr01,0.273140309
Ptr01,0.251760857
Ptr01,0.190010478
Ptr01,0.215302915
Ptr01,0.281509099
Ptr01,0.241720893
Ptr01,0.239676345
Ptr01,0.157389062
Ptr01,0.243761041
Ptr01,0.210653331
Ptr01,0.179243261
Ptr01,0.24749393
Ptr01,0.105280108
Ptr01,0.156282758
Ptr01,0.295713657
Ptr01,0.211039446
Ptr01,0.197787826
Ptr01,0.210734202
Ptr01,0.224179123
Ptr01,0.196624945
Ptr01,0.252448371
Ptr01,0.292770292
Ptr01,0.254600955
Ptr01,0.282149132
Ptr01,0.245865774
Ptr01,0.208618593
Ptr01,0.273386162
Ptr01,0.243735293
Ptr01,0.183765823
Ptr01,0.28699905
Ptr01,0.232324349
Ptr01,0.173911012
Ptr01,0.286776125
Ptr01,0.285557425
Ptr01,0.25949251
Ptr01,0.190768531
Ptr01,0.293285807
Ptr01,0.210996349
Ptr01,0.183365867
Ptr01,0.265046983
Ptr01,0.212916958
Ptr01,0.211819951
Ptr01,0.231742585
Ptr01,0.309102171
Ptr01,0.176483186
Ptr01,0.334926847
Ptr01,0.239687998
Ptr01,0.259304673
Ptr01,0.20950761
Ptr01,0.269032806
Ptr01,0.264001907
Ptr01,0.17760339
Ptr01,0.250171336
Ptr01,0.254994231
Ptr01,0.196951766
Ptr01,0.319770642
Ptr01,0.194472473
Ptr01,0.208620652
Ptr01,0.158823071
Ptr01,0.178339908
Ptr01,0.24348119
Ptr01,0.138225186
Ptr01,0.32160207
Ptr01,0.255389007
Ptr01,0.300100753
Ptr01,0.179717419
Ptr01,0.249137037
Ptr01,0.206617357
Ptr01,0.265351309
Ptr01,0.190593878
Ptr01,0.303374955
Ptr01,0.242949355
Ptr01,0.218590626
Ptr01,0.267272263
Ptr01,0.1487129
Ptr01,0.247907365
Ptr01,0.248870395
Ptr01,0.150112269
Ptr01,0.143360669
Ptr01,0.261326476
Ptr01,0.311674514
Ptr01,0.243097751
Ptr01,0.185033063
Ptr01,0.198786576
Ptr01,0.323449892
Ptr01,0.236946039
Ptr01,0.133587203
Ptr01,0.268860856
Ptr01,0.246557991
Ptr01,0.2781397
Ptr01,0.229315488
Ptr01,0.135885637
Ptr01,0.205280528
