Cluster,Expansin A6
#01,1.046908743
#03,0
#07,0
#01,2.785322386
#03,0
#02,0
#01,0.369621069
#03,0
#02,0
#03,0.361747562
#02,0.280417411
#03,0
#05,0
#05,0
#04,0
#05,0
#05,0
#02,0
#02,0.330443964
#05,0.299144699
#03,0.278274239
#02,0.440843943
#01,1.298572698
#01,3.442854179
#07,0
#08,2.217944425
#05,0
#06,0.209819554
#05,1.211908712
#01,1.123828587
#03,0.086617153
#03,0.205772462
#01,2.532810513
#04,0
#07,0.418920934
#07,0
#01,0.767858743
#02,0
#08,0
#05,0
#02,0
#01,2.076861462
#08,1.098657053
#02,0
#05,0.07665929
#02,0
#05,0
#02,0
#03,0
#01,0.912139536
#04,0
#05,0
#03,0
#01,0
#03,0.497136896
#01,0.601535434
#05,0
#03,0
#03,0
#03,0
#06,1.817489394
#01,2.62792129
#02,0
#06,0.147116147
#05,1.159012727
#07,0
#01,1.387091671
#03,0.056683584
#01,2.043540666
#03,0
#03,0
#03,0
#05,0.774613813
#01,0
#07,0
#04,1.368644594
#01,0
#08,1.101473833
#06,0.239046828
#02,0
#02,0
#06,0
#06,0.125030132
#07,0
#03,0
#01,1.111542915
#01,0
#06,0
#01,0.343073904
#04,0.474943251
#01,1.019879246
#05,0
#01,1.571621765
#07,0
#02,0
#04,0
#06,0
#06,0
#04,0
#07,0
#01,0
#01,1.351396744
#08,0.586408812
#04,0
#05,0.497252263
#02,0
#06,0.205890126
#03,0
#04,0
#04,0
#03,0
#01,1.186190056
#06,0
#08,0
#08,0
#01,0
#05,0
#01,0
#03,0
#03,0
#05,0
#02,0
#07,0
#01,0.456596766
#06,0.674092351
#03,0
#03,0
#02,0
#06,1.585347322
#01,1.530357518
#06,1.533869701
#03,2.322505346
#03,0
#02,0
#07,0
#07,0.195309239
#01,1.282537517
#03,0
#02,1.118789057
#01,0
#01,0
#01,1.449747154
#01,2.698474793
#01,2.287914063
#06,0
#05,0
#01,1.412038756
#02,0
#04,0.687509208
#07,0
#02,0
#02,0
#02,0
#01,1.583041468
#07,0
#03,0
#05,0
#01,1.046908743
#04,0
#08,0
#02,0.613741624
#04,0
#01,0.673771768
#07,0
#01,0
#02,0
#08,1.164441926
#02,0.419903254
#03,1.213201513
#03,0.517996677
#04,0
#03,0
#01,1.133114618
#06,0
#04,0.951369073
#07,0
#07,0
#02,0
#03,0.1287941
#03,0
#02,0
#01,1.911665101
#06,0.101219355
#08,0.923369312
#03,0
#03,0.169704876
#03,0
#06,0.736132999
#01,1.362035019
#01,0
#04,1.551147788
#03,0
#08,0
#06,0
#02,0
#01,2.379590078
#03,0
#08,1.427937083
#03,1.887782188
#04,1.168781185
#03,0
#07,0
#03,0
#02,0
#03,0.315720816
#03,0.25826563
#02,0.476844151
#01,2.603155617
#02,1.124749992
#01,0
#03,0
#01,2.42122167
#01,2.210938675
#02,0.592760871
#03,0.817088413
#04,0
#07,0
#01,0
#04,0.205508209
#05,0
#06,0
#01,2.653290576
#02,0
#06,1.087653821
#01,3.216274631
#05,0
#04,2.208888157
#09,0.571437136
#03,1.022138977
#10,0
#01,0
#02,0
#03,0
#07,0
#07,0
#04,0.575037287
#03,0
#07,0
#01,2.130396637
#06,1.010058744
#02,0
#01,0
#06,0.133246002
#01,0
#06,0.822254666
#06,0
#01,1.399200951
#08,0
#01,0
#06,0.141637594
#01,0
#04,1.257505869
#05,0
#01,3.20484544
#01,0
#01,0
#01,0
#01,0
#06,2.08457153
#01,0
#03,0.127868853
#01,1.787006277
#03,0
#03,1.255757557
#03,0.493132834
#01,1.341269817
#04,0.881077902
#06,0
#02,0
#01,2.130396637
#04,0
#06,2.810727923
#01,0
#01,1.474752418
#01,1.338596694
#02,0
#06,0
#02,0
#01,2.752861633
#06,0
#08,0
#08,0
#05,0.277388689
#01,0
#01,2.638416992
#09,1.269294864
#05,0
#08,2.53287399
#03,0
#07,0
#05,0
#03,0.196320736
#03,0
#01,1.786169592
#06,0
#02,0
#04,0
#05,0
#07,0
#05,0
#01,0
#02,0
#02,1.423609088
#04,0
#04,0
#02,0
#03,0
#01,0
#03,0
#01,0
#01,2.921997488
#02,0
#01,1.964493867
#02,0
#01,0
#01,0
#06,0.467375547
#02,0.233199176
#07,1.232370755
#04,0
#06,0.686564548
#03,0
#04,0
#02,1.713535376
#07,0
#04,0
#01,0
#02,0.538120507
#03,0
#01,0
#01,0
#08,0.829812093
#07,0
#01,0
#01,0
#03,0
#04,0.696989118
#03,0.209301165
#07,0
#01,2.176682368
#02,2.006672331
#03,0
#04,1.962937906
#08,0
#02,0.572033986
#02,0
#01,0.648203087
#01,1.9833894
#07,0
#02,0.396988487
#03,0.139621012
#02,0
#10,0
#01,0.56724906
#01,1.464962725
#01,0
#01,0
#03,0
#09,0.4325857
#01,1.903656814
#03,0
#04,0
#02,0
#03,0
#06,0.223879362
#01,2.232956095
#07,0
#06,0
#02,0.917236202
#02,1.917210495
#02,0
#04,0
#05,0
#01,0
#01,1.155585453
#07,0
#01,0
#02,0
#07,0
#05,0
#02,1.903898364
#01,0
#02,0
#03,0.341117931
#01,0.902702799
#01,0.48807945
#03,0.565447488
#08,0.268633679
#04,0
#03,0.374493247
#02,0.296736539
#02,0
#06,0
#04,0
#04,0
#03,1.198310509
#02,0
#05,0
#02,1.18773942
#01,2.797507136
#02,0
#02,0
#01,0
#04,0
#03,0
#07,0
#07,0
#02,1.489706444
#06,0
#02,0
#02,0.350100957
#02,0
#01,0
#08,1.083089594
#08,0
#06,0
#04,0
#01,0.427804247
#03,0.159726639
#02,0
#01,2.647528523
#01,0
#06,1.669408775
#07,0
#01,0.541697869
#04,2.623232518
#03,0
#05,0
#02,0.986136371
#05,0
#01,0.859438672
#01,0
#03,0
#03,0
#04,0
#04,0
#01,0
#03,0
#02,0
#03,0
#01,1.102180395
#06,2.015404527
#08,2.520883961
#05,0
#07,0
#05,0
#04,0
#01,1.382966108
#01,2.283152322
#03,0
#02,0.3978699
#07,0
#03,0.176264701
#01,3.329744461
#02,0
#01,2.124772965
#03,0
#02,0
#09,0.371102877
#04,0
#01,0
#02,0.221639288
#01,1.454514959
#02,0.913931664
#02,0.319423105
#03,0
#05,0
#03,0.199198556
#03,0
#01,0.43720888
#04,0.611891912
#01,0.942671319
#07,0
#07,0.828465199
#06,2.061203813
#02,0
#06,0.291738801
#02,0.461457078
#04,1.511899039
#05,0
#01,2.070037655
#03,1.033306282
#03,0.29325618
#01,1.743048646
#05,0
#03,0
#01,0
#04,0
#07,0
#02,0
#06,0
#01,0
#01,2.734447861
#03,0
#07,0
#03,0
#07,0
#04,0
#03,0
#01,0.674573809
#03,0
#04,1.878208185
#07,0
#08,0.200837271
#01,0.912139536
#03,0
#08,0
#04,1.162955928
#02,0
#05,0
#08,0
#04,0
#06,0.523443066
#07,0
#01,0
#05,0
#07,0
#05,0
#01,2.005971653
#02,0.553368546
#05,0
#01,0
#03,0
#02,0
#07,0
#05,0
#04,0.635432558
#06,0
#01,1.807354922
#03,0
#07,0
#04,0.339424743
#06,0.150385455
#02,0
#06,1.196495478
#06,0.396549253
#05,0
#04,0.928535092
#01,0.709932786
#04,0
#05,0
#02,0
#07,0
#05,0
#05,0
#08,1.614406279
#01,0
#01,0.809369535
#03,0
#03,0
#02,0.609007975
#07,0
#01,0
#06,0
#05,0
#04,0
#02,0
#02,0
#05,0
#03,0
#01,2.175891444
#03,0
#02,0
#03,0
#03,0
#08,2.225420114
#04,1.655598043
#04,0
#01,0
#06,0
#01,2.36247047
#03,0
#02,0
#06,0.953324539
#02,0.997123239
#07,0
#05,0
#06,0.256013978
#01,1.031283204
#06,0.693864471
#06,0
#01,1.958286972
#06,0
#01,0
#07,0
#05,0
#03,0
#01,1.112894056
#07,0
#08,0
#05,0
#03,0
#02,0.977801543
#05,0.156136114
#07,0
#04,0.532097813
#07,0
#04,0
#04,0
#01,0
#06,0.489584453
#03,0
#07,0
#02,0
#06,0.311629944
#01,0
#09,1.543846647
#03,0
#03,0
#05,0
#01,2.037589583
#02,0
#02,0.865279602
#01,1.491388385
#01,0
#05,0
#02,0
#02,0
#02,0
#03,0
#06,1.201209135
#02,0
#03,0
#01,1.584962501
#02,0
#07,0
#07,0
#07,0
#01,2.424065412
#01,0
#04,0
#03,0
#04,0.339947017
#05,0.09074833
#02,0
#01,1.94753258
#06,0
#01,4.107993683
#01,0
#05,0
#03,0
#01,1.758397896
#02,0.434423101
#02,0.86850016
#04,0
#03,0.168455073
#03,0
#01,0
#05,0.588713691
#02,1.044138707
#08,0
#01,2.08457153
#01,3.818504386
#01,0
#06,1.078846885
#06,0
#04,0
#06,0
#07,0
#01,1.13876407
#01,0.770167155
#03,0
#06,0
#01,2.227089537
#05,0
#08,0
#01,1.252855149
#03,0
#03,0
#01,0
#03,0
#01,0
#02,0
#06,0.150936629
#02,0
#01,2.748989407
#01,2.8815524
#02,0.253980533
#01,0
#01,3.124919855
#06,0
#07,0
#01,1.458514165
#03,0
#01,1.299197982
#05,0
#01,0
#07,0
#01,0.982297998
#02,0
#05,0
#05,0
#05,0
#03,0
#02,1.20166648
#06,0.790267092
#01,2.386350151
#03,0
#01,1.260431248
#07,0
#02,0.53589624
#07,0
#01,0
#04,0
#06,0
#03,0
#07,0
#07,0
#01,2.25507312
#03,0
#08,0.668526604
#04,0
#03,0
#01,1.192413264
#02,0
#02,0.469639468
#04,0
#05,0
#02,0
#05,0
#01,1.548401021
#02,0
#02,0
#06,0
#02,0
#01,1.366131823
#01,0
#05,0
#02,0
#02,0.817373678
#02,0
#02,0.597994176
#03,0
#06,0
#04,0
#02,0
#06,1.360307028
#03,0.291305343
#05,0.660581924
#04,0
#08,0
#04,0
#03,0.791749331
#03,0.362021317
#01,1.800301419
#01,3.576396577
#01,1.329329896
#04,0
#03,0.139851279
#02,0.378345232
#05,0
#02,0
#06,0.885036819
#03,0
#07,0
#07,0
#01,0.627014524
#02,0
#05,0
#01,0
#04,0
#10,0
#02,0
#07,0
#04,0
#04,0
#05,0
#01,3.588494192
#04,0
#02,0
#01,0
#04,0
#02,0
#01,2.065128811
#01,0
#01,0
#04,0
#06,3.251008056
#03,0
#02,0
#01,1.011681805
#02,0.786952758
#07,0.977916303
#03,0
#02,0
#01,2.061639066
#01,1.452921921
#03,0
#01,4.651794009
#03,0.238610932
#05,0
#08,0
#05,0
#02,0
#01,0.537107166
#03,0.202275705
#02,0
#07,0
#03,0
#06,0
#06,1.444432192
#01,1.469839885
#02,0
#02,0.862880278
#01,1.857302215
#04,0
#02,1.272079545
#05,0
#07,0
#01,1.42259485
#10,0
#02,0
#01,0.429472036
#06,0
#03,0
#01,0.746318593
#02,0
#01,1.562242424
#04,0.540158839
#04,0.960898305
#07,0
#03,0
#04,0
#01,0.471031746
#07,0
#01,1.169925001
#03,0
#03,1.431471363
#01,2.77807713
#07,0
#05,0
#03,1.00629259
#06,0
#01,0
#04,0.749490426
#02,0
#02,0
#01,0
#01,0
#01,1.294006823
#06,0.604604839
#08,0
#07,0
#07,0
#01,0
#05,0
#07,0
#04,2.176117353
#05,0
#02,0
#05,0
#01,1.718888001
#03,0
#01,0
#10,0
#05,1.121073858
#04,0.990006031
#03,0
#02,1.34755181
#03,0
#07,0
#01,1.418805313
#01,1.941447818
#03,0
#06,0.361686784
#01,0.5757349
#06,0.257526043
#07,0
#02,0
#03,0
#01,0
#05,0
#04,0.219678037
#05,0.424423647
#07,0
#02,0
#07,0
#03,0
#01,1.556673456
#01,2.519003674
#04,0
#01,1.970746195
#06,0
#01,0
#03,0.066348598
#03,0.162509303
#08,0
#01,3.244061423
#05,0
#07,0
#01,0
#06,0
#01,1.185159515
#01,0
#01,0
#07,0
#01,1.385653692
#06,0.441251603
#01,1.226806023
#06,1.440973229
#02,0
#04,0
#02,0
#03,0.448440426
#01,3.009083548
#01,2.479401066
#02,0
#06,0
#02,0
#06,0
#04,0
#04,0
#05,0.125881604
#02,0.812880856
#06,2.012100186
#01,0
#03,0
#06,0
#01,0
#08,0.185429418
#03,0
#05,0
#02,0
#01,3.613054808
#06,0.475860106
#06,1.219954921
#02,1.275679013
#03,0.168612755
#04,0.361110416
#03,0.302544575
#02,0.585684751
#01,2.803035473
#05,0
#06,0.384876564
#06,0
#07,0
#01,1.99622119
#02,0
#07,0
#04,1.817726606
#02,0
#01,2.009246334
#03,0
#03,0
#05,0.182424141
#01,1.540224186
#04,0
#02,0.769956712
#03,0
#03,0
#03,0.222152232
#06,0.374493247
#05,0.359257397
#01,1.282537517
#08,0.470411929
#10,0
#01,1.181056182
#05,0
#01,3.221625935
#01,1.387811865
#06,0
#02,0.944269569
#02,0
#04,0
#05,0.201822215
#05,0
#03,0.204632255
#03,0
#03,0
#04,0
#01,0
#01,0
#03,0
#01,1.728928275
#05,0
#07,0
#04,0
#07,0
#03,0
#02,0
#01,1.204003557
#06,1.064924724
#09,0.703925332
#06,0.590178894
#03,0
#07,0
#05,0
#05,0.236766275
#06,0
#03,0.170185888
#08,0.849195549
#04,1.563408127
#01,2.684630784
#01,0
#01,0.985086456
#06,0.525667091
#04,0
#01,0
#02,0
#02,0
#05,0
#05,0
#03,0
#02,0
#05,0
#03,0
#06,0.178315171
#02,0
#03,0
#04,0
#06,0
#02,0
#08,0
#10,0.308917037
#01,0.641173368
#02,0.576434229
#07,0
#03,1.597684001
#01,1.861514502
#03,0.122731254
#05,0
#02,0
#02,0.492452953
#01,0.76163445
#03,0
#07,0
#07,0
#05,0
#02,0.337351666
#01,1.414036392
#05,0.457619095
#02,0
#01,0
#04,1.148794515
#03,0
#07,0
#06,0.632742106
#07,0
#07,0
#01,0
#03,0
#03,0
#05,0
#02,1.539321472
#03,0
#05,0.096524423
#07,0
#01,1.330645312
#02,0
#03,0
#01,0.579720663
#01,1.699192252
#01,2.36923381
#04,0
#07,0
#01,0
#02,0.447598919
#05,0
#04,0
#01,2.308177125
#03,0
#05,0
#01,1.632659243
#04,0
#07,0
#01,2.64529627
#01,3.10846314
#03,0
#01,0.511867119
#01,1.437974311
#02,0.837863801
#06,0
#07,2.145565796
#04,0
#01,0
#08,0
#03,0
#03,0
#03,0
#03,0
#02,0
#02,0
#07,0
#02,0
#07,0
#03,0
#03,0
#04,0
#05,0
#01,1.229025514
#02,0
#07,0
#05,0
#01,0
#04,1.101591527
#01,1.106618029
#01,2.472650413
#03,0
#01,0
#02,0.477003253
#05,0
#01,1.538548638
#01,1.543846647
#01,2.238013991
#01,1.437974311
#05,0
#03,0
#01,0
#05,0
#07,0
#06,0.96294227
#03,1.034304806
#06,0.140423445
#07,0
#08,0
#04,0
#02,0
#06,0
#03,0
#01,1.401650193
#02,0
#07,0
#02,0
#01,0.667110499
#02,0
#01,0
#03,0
#04,0
#01,2.520883961
#04,0
#03,0.657518554
#07,0
#03,1.678674887
#03,0
#06,1.196250412
#03,0.169545142
#01,0.620712526
#02,0
#03,0.131232587
#04,0
#01,0
#02,0
#04,0
#02,0.232633901
#03,0
#03,0.160679354
#01,3.071660985
#01,0
#03,0
#05,0
#01,0
#02,0
#02,0
#05,0
#04,0
#01,0
#05,0
#01,0.714597781
#02,0.28956492
#06,0.24024379
#01,1.738313278
#06,0.374688865
#09,0.582329626
#02,0
#06,0
#05,0.19707279
#01,0.731998684
#02,0.372451591
#03,0.773656538
#08,1.599477578
#04,0.91935198
#02,1.251313017
#01,0
#07,0
#03,0
#01,2.388819979
#05,0
#05,0
#03,0
#01,0.738507759
#01,2.894104441
#08,0
#02,0.836864164
#05,0
#04,0.640450008
#02,0
#02,0
#01,2.59250405
#01,1.455312899
#06,0
#07,0
#01,1.817726606
#05,0
#04,0.815002699
#01,1.028216242
#03,0
#03,0
#04,0
#04,1.223492665
#01,0.932885804
#04,0
#01,0
#04,0
#08,0
#01,0
#05,0
#03,0
#07,0
#02,0.902411148
#05,0
#01,1.197652217
#01,1.572566499
#03,0
#06,0.340027511
#02,0
#03,0.13928376
#02,0
#01,2.283469031
#06,0.130720929
#02,0.953324539
#02,0
#07,0
#05,0
#02,0
#06,1.728811679
#03,0
#02,1.511320999
#02,0
#04,2.227507359
#03,0
#06,2.018276378
#08,0
#03,0.25131912
#07,0
#07,0
#07,0
#07,0
#02,0.626461369
#07,0
#09,1.834537459
#03,0
#03,0.773125764
#04,0
#03,0
#06,0.331894683
#05,0
#01,0
#05,0
#07,0
#01,2.318241871
#04,0.265608176
#07,0
#01,1.126782678
#06,0.906659224
#03,0
#03,0
#03,0.699055307
#03,0
#04,0
#05,0
#01,1.306118751
#06,1.364996817
#02,1.332954004
#04,2.215347919
#02,0
#05,0
#01,0
#06,0
#03,0.219009782
#03,0
#01,1.363074078
#04,0
#04,0
#07,0
#03,0.92969634
#01,0.517245809
#06,0.44890931
#03,0
#04,0.66564838
#08,0
#02,0.448580987
#05,0.142929605
#02,0
#03,0.820157784
#07,0
#03,0.218004001
#02,0
#06,1.764206623
#02,0
#03,0.888636995
#04,0
#03,0
#06,1.512606187
#05,0
#03,0
#03,0
#06,0
#03,0
#03,0.287998978
#01,2.642645028
#07,0
#02,0
#07,0
#07,0.348740255
#03,1.584001345
#02,0
#05,0
#08,1.301077693
#02,0
#03,0
#01,2.773873155
#04,1.241386551
#06,0.714688106
#02,0.734091699
#06,1.619683412
#02,0
#08,0.988796523
#01,0
#03,0
#07,0
#01,2.60929183
#07,0
#08,1.245947149
#02,0
#07,0
#01,1.410544518
#07,0
#06,0
#03,0
#03,0.263130621
#01,2.413866005
#03,0
#03,0
#01,0.946838476
#01,0
#08,1.7418621
#01,0.746318593
#01,0
#04,0
#03,0.114998314
#05,0
#04,0
#01,0
#01,0.91753784
#04,1.453717967
#03,0
#05,0
#02,0.884048312
#03,0
#04,0
#01,2.151961684
#06,1.833780827
#02,0
#06,1.439652039
#06,2.02983813
#05,0
#06,0
#02,0.757338511
#02,0
#05,0
#02,0
#03,0
#01,0
#04,0
#07,0
#06,0
#04,0
#05,0
#05,0
#02,0
#03,0
#03,0
#04,0
#01,0
#01,0
#03,0
#07,0
#04,0
#03,0.412964088
#03,0.266740879
#02,0
#04,0
#01,0
#01,1.357826968
#04,0
#06,0.802668473
#01,0
#01,1.016384712
#03,0
#03,0
#04,0
#05,0
#01,0
#04,0
#01,1.572566499
#02,0
#01,1.764720469
#04,0.413719258
#05,0
#02,0
#01,0
#01,2.294620749
#05,0
#03,0.161688851
#03,0
#04,0
#02,0
#02,0.940443155
#05,0
#03,0
#04,0
#01,1.539772685
#01,2.437613646
#02,0
#01,1.827352823
#07,0
#02,0
#01,2.143655751
#01,0
#03,0
#01,0
#01,0
#04,0
#02,1.137582222
#06,0
#01,0
#02,0
#07,0.291798009
#06,0
#07,0
#01,1.488028622
#01,2.68589141
#03,0
#01,3.201119623
#01,0.632695112
#01,0
#07,0
#05,0
#01,1.258674287
#01,2.069803283
#07,0
#04,0
#02,0
#05,0
#02,0.25167074
#01,0
#01,0.944269569
#07,0
#02,0
#02,0
#01,0.598749452
#05,0
#05,0
#01,0
#02,0
#07,0
#03,0.226878068
#06,0
#01,1.483019712
#01,0
#07,0
#03,0
#03,0
#03,0
#04,0
#02,0
#02,0
#01,1.214748986
#03,0
#07,0
#05,0.278948895
#03,0.200334468
#07,0
#06,0.439254558
#06,1.248554281
#04,0
#02,0
#05,0
#01,0
#01,1.441093467
#04,0
#03,0
#04,0
#01,2.883141993
#04,1.289475044
#05,0
#07,0
#05,0
#04,0
#01,1.559761947
#01,0.367491106
#02,0
#01,1.699192252
#07,0
#04,0
#06,0
#05,0
#02,0
#01,2.840356844
#02,0.52140303
#01,2.238859633
#05,0.956602224
#08,0
#02,0.2811575
#04,2.037589583
#06,1.076177772
#07,0
#07,0
#05,0
#01,0.485097294
#02,0
#05,0.246666868
#07,0
#04,0
#01,1.110554262
#07,0
#01,2.269164644
#03,0
#06,1.056965028
#01,0
#03,0
#02,0
#10,0
#05,0.468715887
#03,0
#08,0.993409069
#04,0
#03,0
#03,1.758236447
#05,0
#05,0
#03,0
#01,0
#02,0
#10,0
#01,1.118333269
#01,1.863352703
#03,0.781877486
#01,1.374264235
#04,0
#08,0
#01,0
#01,2.196679237
#03,0.825434198
#08,0
#04,0
#03,0
#03,0.108794653
#06,0
#05,0.665231829
#01,2.002709287
#02,0
#03,0
#01,1.063036662
#03,0
#03,0
#01,1.334608327
#02,0.593998453
#07,0.763904666
#10,1.09168069
#02,0
#02,0
#01,0
#03,0.298461512
#03,0
#06,0.348120146
#05,0
#02,0.456305518
#05,0
#04,0.777178448
#01,0
#01,0
#01,0.949421901
#04,0
#01,1.242523376
#05,0.263854489
#04,0.233463915
#06,0.610971293
#07,0
#03,0
#04,0
#05,0
#02,0
#07,0
#07,0
#01,0.522739986
#01,2.010888316
#07,0
#02,0.512970658
#03,0
#06,0
#03,0.514867034
#05,0
#02,0
#01,0.885317
#01,1.471473445
#01,0
#03,0
#03,0
#07,0
#06,0
#03,0
#05,0.135005394
#03,0
#05,0
#01,1.949060616
#04,0
#01,1.550414274
#04,0.199834181
#02,0
#08,0.969679304
#06,1.141789503
#04,2.143019959
#01,2.113629503
#03,0
#05,1.161104039
#07,0
#05,0
#01,0.555309227
#01,0
#05,0
#02,0
#03,0
#02,0
#02,0.423253115
#03,0
#03,0
#03,0
#05,0.181550637
#02,0
#01,0
#04,0
#01,0
#02,0
#02,0
#05,0
#05,0
#03,0
#05,0
#05,0.283681
#01,1.489706444
#06,0
#01,0
#05,0
#03,0
#04,0
#06,0.418187225
#07,0
#04,0
#08,0.464982319
#05,0.181230928
#07,0
#10,0
#02,0
#04,0
#01,0
#03,0
#05,0
#01,1.855113072
#02,0
#03,0
#04,0
#04,0
#02,0
#03,1.715519149
#02,0.935705037
#03,0.119052672
#01,0
#07,0
#01,0.852380238
#03,0.10562308
#04,1.276481841
#02,0
#06,0.500855654
#03,0
#03,0
#01,0
#04,0
#08,0
#08,0
#04,0.590056511
#05,0.183750294
#01,0
#06,0.599317181
#04,0
#01,2.457073631
#05,0
#04,0
#06,0
#01,0
#06,0
#03,0.148357769
#06,0
#07,0
#01,1.694718185
#07,0
#02,0.589567495
#03,0
#03,0
#04,0
#02,0
#03,0
#01,0.844421769
#03,0
#07,0
#01,0.877760689
#07,0
#04,0.692216087
#02,0.603578179
#05,0.123076981
#05,0
#06,0
#06,0
#03,0
#03,1.354125011
#02,0
#07,0
#07,0
#01,0
#06,0.312002057
#05,0
#07,0
#01,3.052984456
#04,0
#01,0.782360254
#01,3.070316705
#03,0
#02,2.283912601
#01,0
#03,0
#03,0
#01,0.668684327
#03,1.010943378
#07,1.451332657
#06,0
#07,0
#01,1.100415768
#10,0
#04,1.473384253
#05,0
#01,3.137056048
#05,0
#07,0
#01,2.64052887
#02,1.479227918
#04,0.689854466
#03,0.17551324
#07,0
#05,0
#07,0
#03,0.123182132
#03,0.941806041
#05,0.290422738
#04,0
#02,0
#01,2.472650413
#01,1.74622163
#09,0.378744818
#03,0.3095158
#05,0
#07,0
#10,0
#01,2.279991021
#07,0
#05,0
#02,1.039816553
#03,0
#07,0
#05,0
#01,0
#02,0
#01,0
#02,0.309649175
#06,0
#02,0
#01,0
#01,1.215834705
#05,0
#01,1.389977284
#05,0
#01,0
#02,0
#08,0.923206292
#01,2.405446283
#01,1.865563994
#01,1.781999348
#06,1.762769638
#07,0
#04,0
#03,0.874250584
#03,0
#03,0
#02,0
#03,0.103865726
#05,1.250111028
#01,1.122908766
#03,0
#01,0
#06,0
#09,1.339597777
#08,0
#03,0
#04,0
#07,0
#03,0
#04,0
#01,0
#05,0.300960967
#04,0
#01,1.762688458
#02,0
#08,0
#01,2.117328726
#05,0
#06,0.886851891
#09,0.457107354
#03,0
#03,0.184503297
#04,0
#03,0
#01,3.178161641
#03,0
#05,0.205596218
#04,0
#04,0
#03,0
#06,1.834426442
#03,0
#06,1.897161275
#03,0
#01,0
#08,1.269294864
#03,0
#02,0
#01,1.078846885
#06,0.529923509
#07,0
#06,0.207327607
#06,0
#05,0
#03,0.348570915
#03,0
#10,0
#05,0
#03,0
#05,0
#01,2.011710472
#03,0
#02,0
#07,0
#04,0
#01,0
#03,0
#05,0
#03,0
#01,0
#03,0
#01,1.471473445
#01,1.513636054
#05,1.780378878
#01,0.546159347
#04,1.382966108
#02,0
#01,0
#04,0
#01,1.6398814
#01,2.635783143
#07,0
#01,2.02080583
#01,0.898059611
#01,0.956602224
#01,1.877622838
#06,2.046881611
#02,0
#03,0.082316263
#01,1.959834467
#07,0
#01,1.371448231
#03,0
#05,0
#03,0.236280477
#01,2.47238133
#01,0
#01,0
#07,0
#02,0
#04,0
#04,0.958249843
#05,0
#06,0
#07,0
#02,0
#05,0
#05,0
#01,0
#02,0
#04,1.503850061
#01,2.033363379
#01,1.235735361
#03,0
#06,0
#06,1.655333366
#01,1.114248649
#08,0
#03,0.087468146
#03,0
#02,0
#01,0
#07,0
#05,0.172777386
#08,1.04433606
#07,0
#01,2.022469779
#01,0
#01,2.803035473
#04,0
#06,0
#02,0
#03,0
#06,0
#02,0.281791045
#02,0
#03,0.942224812
#06,0.233312562
#04,0
#02,0
#02,0
#01,1.371448231
#06,0.439580509
#01,2.838719093
#06,0.736645138
#08,0.844421769
#05,0
#03,0
#03,0.872189994
#07,0
#01,1.488028622
#02,0
#06,2.076252099
#06,1.206047497
#06,0
#08,0
#01,0
#02,0.981603443
#03,0.092660735
#05,0
#03,0
#03,0
#04,0.520490249
#01,3.464359983
#01,1.555749519
#05,0
#01,0
#04,2.098377686
#03,0
#05,0
#01,1.134991211
#01,1.988178969
#03,0
#04,0
#01,0
#07,0
#01,0
#04,0
#01,0
#04,0
#03,0.151094851
#08,1.965532752
#06,0
#01,2.961535307
#03,0.108133832
#10,0
#06,0.457814348
#01,2.491667767
#01,0
#05,0.302927133
#07,0
#04,0.802897649
#01,1.793309634
#01,0.611628591
#01,1.527690517
#05,0.769116118
#06,2.045326105
#06,0
#06,0.58927448
#04,1.408309545
#08,0
#01,1.88008409
#07,0
#03,0
#01,0.984387801
#02,0
#02,0
#03,0.199806461
#06,1.103064935
#04,0
#05,0
#02,1.013409176
#07,0
#02,0
#06,0.309715905
#01,1.916065792
#01,1.070464903
#03,0.209027761
#03,0
#01,0
#03,0
#01,2.070389328
#07,0
#02,0
#01,0
#01,2.385528257
#01,0.862348954
#04,0.680243004
#02,0
#03,0
#08,0
#01,0.566346823
#06,0.323644424
#01,2.132907297
#03,0
#02,0
#04,0.456014644
#07,0
#04,0
#02,0
#04,0
#04,0.369383182
#06,0.209422908
#02,1.033209758
#04,1.455312899
#01,1.343282177
#02,0.912736105
#01,2.206161151
#05,0
#01,0.997840815
#05,0.205978463
#03,0
#01,1.437974311
#03,0
#05,0
#06,2.399261711
#01,2.233797185
#02,0.361656403
#02,0.372258314
#01,0
#01,0
#05,0
#01,1.12659757
#02,0
#01,0
#02,0
#04,0.335617291
#02,0
#01,0
#01,1.335271287
#03,0
#01,0
#02,0
#04,0
#05,0
#05,0
#03,0.161417207
#02,0
#01,0
#07,0
#02,0
#02,0
#04,0
#07,0
#08,1.379933698
#04,0
#04,2.148758131
#01,2.612373617
#03,0
#07,0
#07,0
#01,0
#02,0.671218234
#04,0.486087251
#01,2.359586221
#01,0
#01,1.117422862
#03,0
#04,0.231139841
#06,0
#04,0
#05,0
#06,0
#05,0.288461186
#02,0
#06,0.668278907
#01,1.337264405
#04,0
#08,0
#07,0
#01,1.964493867
#06,0.589404672
#05,0
#06,0
#07,0
#07,0
#03,0.183563003
#01,0.630354404
#02,0
#02,1.833538854
#04,1.114700949
#07,0
#08,0
#01,2.360546687
#04,0
#03,0
#03,0
#05,0
#02,0
#04,0
#04,0
#01,0
#02,0.289798365
#07,0
#06,0.165419227
#02,0
#02,0
#01,1.569736026
#01,0
#04,0.309849454
#06,0.237117291
