Cluster,Ptr,Egr,Lch,Tar
#01,1140,1041,690,450
#02,791,1025,593,335
#03,773,1021,323,294
#04,468,864,315,260
#05,464,631,309,172
#06,446,397,265,172
#07,433,205,238,163
#08,136,152,128,100
#09,30,116,93,32
#10,24,42,23,5
